language	book	k	kmer	count	frequency
dutch	camera_obscura	3	ADS	194	0.0005331838219935579
dutch	camera_obscura	3	ODT	47	0.000129173400173697
dutch	camera_obscura	3	HER	2419	0.006648307553620703
dutch	camera_obscura	3	ERE	1552	0.004265470575948463
dutch	camera_obscura	3	REI	135	0.00037102997922232116
dutch	camera_obscura	3	EIN	416	0.0011433220100480416
dutch	camera_obscura	3	HEE	238	0.0006541121115178699
dutch	camera_obscura	3	EDG	105	0.000288578872728472
dutch	camera_obscura	3	DGE	110	0.0003023207238107802
dutch	camera_obscura	3	OFT	863	0.002371843496806394
dutch	camera_obscura	3	FTH	838	0.002303134241394853
dutch	camera_obscura	3	HEB	386	0.0010608709035541924
dutch	camera_obscura	3	EBL	54	0.00014841199168892847
dutch	camera_obscura	3	EAK	144	0.0003957653111704759
dutch	camera_obscura	3	AKS	13	3.57288128140013e-05
dutch	camera_obscura	3	KSP	10	2.7483702164616382e-05
dutch	camera_obscura	3	SPR	92	0.00025285005991447073
dutch	camera_obscura	3	PRU	25	6.870925541154095e-05
dutch	camera_obscura	3	RUC	63	0.0001731473236370832
dutch	camera_obscura	3	CEF	36	9.894132779261898e-05
dutch	camera_obscura	3	EFO	381	0.0010471290524718842
dutch	camera_obscura	3	STW	92	0.00025285005991447073
dutch	camera_obscura	3	TWI	150	0.0004122555324692457
dutch	camera_obscura	3	WIT	913	0.0025092620076294756
dutch	camera_obscura	3	ITH	1046	0.0028747952464188735
dutch	camera_obscura	3	HTH	479	0.0013164693336851247
dutch	camera_obscura	3	EWI	242	0.0006651055923837164
dutch	camera_obscura	3	WIN	301	0.0008272594351549531
dutch	camera_obscura	3	IND	435	0.0011955410441608126
dutch	camera_obscura	3	NDM	125	0.00034354627705770476
dutch	camera_obscura	3	DMO	69	0.00018963754493585305
dutch	camera_obscura	3	MOA	5	1.3741851082308191e-05
dutch	camera_obscura	3	OAN	54	0.00014841199168892847
dutch	camera_obscura	3	ANI	183	0.0005029517496124798
dutch	camera_obscura	3	NIN	545	0.0014978617679715929
dutch	camera_obscura	3	NGD	106	0.00029132724294493367
dutch	camera_obscura	3	GDI	18	4.947066389630949e-05
dutch	camera_obscura	3	ISM	161	0.0004424876048503238
dutch	camera_obscura	3	SMA	120	0.0003298044259753966
dutch	camera_obscura	3	MAL	110	0.0003023207238107802
dutch	camera_obscura	3	LLY	155	0.0004259973835515539
dutch	camera_obscura	3	LYT	167	0.0004589778261490936
dutch	camera_obscura	3	YTH	337	0.000926200762947572
dutch	camera_obscura	3	THR	359	0.000986664907709728
dutch	camera_obscura	3	HRO	208	0.0005716610050240208
